Country Name,Country Code,Year,Exports
Czechia,CZE,2000,29.4118833533123
Czechia,CZE,2001,32.890742914741104
Czechia,CZE,2002,37.1834240190468
Czechia,CZE,2003,46.7480624908959
Czechia,CZE,2004,68.7571512171598
Czechia,CZE,2005,84.40209861566561
Czechia,CZE,2006,101.299444095866
Czechia,CZE,2007,125.970662822056
Czechia,CZE,2008,150.09141432856202
Czechia,CZE,2009,121.63294750713901
Czechia,CZE,2010,137.029742232405
Czechia,CZE,2011,162.821394258699
Czechia,CZE,2012,158.360841980789
Czechia,CZE,2013,160.978376418306
Czechia,CZE,2014,171.700823301942
Czechia,CZE,2015,151.44607113076802
Czechia,CZE,2016,155.29003700349702
Czechia,CZE,2017,173.235013109521
Czechia,CZE,2018,191.693669275359
Czechia,CZE,2019,186.544809546135
Czechia,CZE,2020,172.837271875211
Czechia,CZE,2021,205.625604499013
Czechia,CZE,2022,217.730664760081
Czechia,CZE,2023,236.687769769929
Poland,POL,2000,46.301
Poland,POL,2001,51.416
Poland,POL,2002,56.779
Poland,POL,2003,72.181
Poland,POL,2004,87.898
Poland,POL,2005,105.912
Poland,POL,2006,130.545
Poland,POL,2007,166.292
Poland,POL,2008,204.446
Poland,POL,2009,164.504
Poland,POL,2010,190.787
Poland,POL,2011,223.677
Poland,POL,2012,219.345
Poland,POL,2013,237.241
Poland,POL,2014,250.782
Poland,POL,2015,226.32
Poland,POL,2016,236.177
Poland,POL,2017,273.976
Poland,POL,2018,310.564
Poland,POL,2019,317.082
Poland,POL,2020,318.967
Poland,POL,2021,392.694
Poland,POL,2022,434.008
Poland,POL,2023,469.268
,,2000,
,,2000,
,,2000,
,,2001,
,,2001,
,,2001,
,,2002,
,,2002,
,,2002,
,,2003,
,,2003,
,,2003,
,,2004,
,,2004,
,,2004,
,,2005,
,,2005,
,,2005,
,,2006,
,,2006,
,,2006,
,,2007,
,,2007,
,,2007,
,,2008,
,,2008,
,,2008,
,,2009,
,,2009,
,,2009,
,,2010,
,,2010,
,,2010,
,,2011,
,,2011,
,,2011,
,,2012,
,,2012,
,,2012,
,,2013,
,,2013,
,,2013,
,,2014,
,,2014,
,,2014,
,,2015,
,,2015,
,,2015,
,,2016,
,,2016,
,,2016,
,,2017,
,,2017,
,,2017,
,,2018,
,,2018,
,,2018,
,,2019,
,,2019,
,,2019,
,,2020,
,,2020,
,,2020,
,,2021,
,,2021,
,,2021,
,,2022,
,,2022,
,,2022,
,,2023,
,,2023,
,,2023,
