Country Name,Country Code,Year,Export Percentage
Czechia,CZE,2000,48.0909898172434
Czechia,CZE,2001,48.8565118571175
Czechia,CZE,2002,45.0041286043534
Czechia,CZE,2003,46.728047793977
Czechia,CZE,2004,57.0578398918942
Czechia,CZE,2005,61.813226864735
Czechia,CZE,2006,64.875423442478
Czechia,CZE,2007,66.1007691863238
Czechia,CZE,2008,62.9516480907081
Czechia,CZE,2009,58.3454298084121
Czechia,CZE,2010,65.5430054071382
Czechia,CZE,2011,70.8218671927368
Czechia,CZE,2012,75.6461865650325
Czechia,CZE,2013,76.0583816157677
Czechia,CZE,2014,81.9542745743788
Czechia,CZE,2015,80.5587781149995
Czechia,CZE,2016,79.1070766309635
Czechia,CZE,2017,79.0271394981121
Czechia,CZE,2018,76.9435759590934
Czechia,CZE,2019,73.8797803262645
Czechia,CZE,2020,69.9487715380852
Czechia,CZE,2021,72.7282340956374
Czechia,CZE,2022,76.4523242521964
Czechia,CZE,2023,72.010700366986
Poland,POL,2000,27.1883262545709
Poland,POL,2001,27.1873256664978
Poland,POL,2002,28.7131224037015
Poland,POL,2003,33.3504495061099
Poland,POL,2004,34.2354604213308
Poland,POL,2005,34.61157158289
Poland,POL,2006,37.8209533854919
Poland,POL,2007,38.5162878902711
Poland,POL,2008,37.8148698127136
Poland,POL,2009,37.1422532388258
Poland,POL,2010,40.091385195431
Poland,POL,2011,42.5738635888214
Poland,POL,2012,44.2782744139008
Poland,POL,2013,45.9809241739596
Poland,POL,2014,46.4887871702835
Poland,POL,2015,47.450306399158
Poland,POL,2016,50.268318939351
Poland,POL,2017,52.0556850585588
Poland,POL,2018,52.7480289263233
Poland,POL,2019,53.1953356183897
Poland,POL,2020,52.9909243041795
Poland,POL,2021,57.6993442789919
Poland,POL,2022,62.8791875108544
Poland,POL,2023,57.8142461725145
,,2000,
,,2000,
,,2000,
,,2001,
,,2001,
,,2001,
,,2002,
,,2002,
,,2002,
,,2003,
,,2003,
,,2003,
,,2004,
,,2004,
,,2004,
,,2005,
,,2005,
,,2005,
,,2006,
,,2006,
,,2006,
,,2007,
,,2007,
,,2007,
,,2008,
,,2008,
,,2008,
,,2009,
,,2009,
,,2009,
,,2010,
,,2010,
,,2010,
,,2011,
,,2011,
,,2011,
,,2012,
,,2012,
,,2012,
,,2013,
,,2013,
,,2013,
,,2014,
,,2014,
,,2014,
,,2015,
,,2015,
,,2015,
,,2016,
,,2016,
,,2016,
,,2017,
,,2017,
,,2017,
,,2018,
,,2018,
,,2018,
,,2019,
,,2019,
,,2019,
,,2020,
,,2020,
,,2020,
,,2021,
,,2021,
,,2021,
,,2022,
,,2022,
,,2022,
,,2023,
,,2023,
,,2023,
