Country Name,Country Code,Year,Health Expenditure
Poland,POL,2000,238.0
Czechia,CZE,2000,342.92108154
Poland,POL,2001,283.0
Czechia,CZE,2001,388.54403687
Poland,POL,2002,316.0
Czechia,CZE,2002,497.74203491
Poland,POL,2003,339.0
Czechia,CZE,2003,640.66040039
Poland,POL,2004,392.0
Czechia,CZE,2004,746.32891846
Poland,POL,2005,466.0
Czechia,CZE,2005,852.65246582
Poland,POL,2006,524.0
Czechia,CZE,2006,942.11804199
Poland,POL,2007,661.0
Czechia,CZE,2007,1110.17663574
Poland,POL,2008,893.0
Czechia,CZE,2008,1449.33679199
Poland,POL,2009,760.0
Czechia,CZE,2009,1442.24279785
Poland,POL,2010,809.0
Czechia,CZE,2010,1516.04858398
Poland,POL,2011,866.0
Czechia,CZE,2011,1654.51013184
Poland,POL,2012,815.0
Czechia,CZE,2012,1515.81604004
Poland,POL,2013,878.0
Czechia,CZE,2013,1514.01403809
Poland,POL,2014,911.0
Czechia,CZE,2014,1516.05627441
Poland,POL,2015,804.0
Czechia,CZE,2015,1314.83728027
Poland,POL,2016,816.0
Czechia,CZE,2016,1384.66357422
Poland,POL,2017,910.0
Czechia,CZE,2017,1525.34790039
Poland,POL,2018,979.0
Czechia,CZE,2018,1753.19897461
Poland,POL,2019,1014.0
Czechia,CZE,2019,1803.05249023
Poland,POL,2020,1026.0
Czechia,CZE,2020,2119.26831055
Poland,POL,2021,1159.0
Czechia,CZE,2021,2498.51660156
Poland,POL,2022,1225
