Country Name,Country Code,Year,Imports
Czechia,CZE,2000,30.8864764026894
Czechia,CZE,2001,34.0097592524917
Czechia,CZE,2002,38.081836120054
Czechia,CZE,2003,48.2891275833954
Czechia,CZE,2004,67.6126273356213
Czechia,CZE,2005,81.5794284855619
Czechia,CZE,2006,97.12275841314239
Czechia,CZE,2007,121.105712610317
Czechia,CZE,2008,143.962757077503
Czechia,CZE,2009,112.95173897078101
Czechia,CZE,2010,130.639247051431
Czechia,CZE,2011,153.90104120065303
Czechia,CZE,2012,148.043927978547
Czechia,CZE,2013,148.950542267945
Czechia,CZE,2014,158.318631819824
Czechia,CZE,2015,140.304405711672
Czechia,CZE,2016,140.293686216879
Czechia,CZE,2017,156.331745782772
Czechia,CZE,2018,176.802702878903
Czechia,CZE,2019,171.45809940149798
Czechia,CZE,2020,155.454809836172
Czechia,CZE,2021,196.596652545956
Czechia,CZE,2022,219.29203236717
Czechia,CZE,2023,221.388348093116
Poland,POL,2000,58.004291228292196
Poland,POL,2001,59.1223527687535
Poland,POL,2002,64.2484999508582
Poland,POL,2003,78.6269228544063
Poland,POL,2004,94.9259112838271
Poland,POL,2005,109.964416441069
Poland,POL,2006,138.366786351194
Poland,POL,2007,181.540851532723
Poland,POL,2008,229.932900057362
Poland,POL,2009,167.650062080508
Poland,POL,2010,201.989520114085
Poland,POL,2011,234.447734072082
Poland,POL,2012,222.801057072195
Poland,POL,2013,231.05330383276402
Poland,POL,2014,248.40753427914402
Poland,POL,2015,216.45815094840202
Poland,POL,2016,222.188236075889
Poland,POL,2017,258.257475591592
Poland,POL,2018,298.525881180613
Poland,POL,2019,295.009474198274
Poland,POL,2020,283.735949711545
Poland,POL,2021,370.532820876264
Poland,POL,2022,421.47285698326397
Poland,POL,2023,419.597698866252
,,2000,
,,2000,
,,2000,
,,2001,
,,2001,
,,2001,
,,2002,
,,2002,
,,2002,
,,2003,
,,2003,
,,2003,
,,2004,
,,2004,
,,2004,
,,2005,
,,2005,
,,2005,
,,2006,
,,2006,
,,2006,
,,2007,
,,2007,
,,2007,
,,2008,
,,2008,
,,2008,
,,2009,
,,2009,
,,2009,
,,2010,
,,2010,
,,2010,
,,2011,
,,2011,
,,2011,
,,2012,
,,2012,
,,2012,
,,2013,
,,2013,
,,2013,
,,2014,
,,2014,
,,2014,
,,2015,
,,2015,
,,2015,
,,2016,
,,2016,
,,2016,
,,2017,
,,2017,
,,2017,
,,2018,
,,2018,
,,2018,
,,2019,
,,2019,
,,2019,
,,2020,
,,2020,
,,2020,
,,2021,
,,2021,
,,2021,
,,2022,
,,2022,
,,2022,
,,2023,
,,2023,
,,2023,
